,conceptA,conceptB,isPrerequisite,dataset,file,conceptA_ind,conceptB_ind,fileB
3038,311,923,0,pseudo,mooc,151,419,mooc
3038,311,1067,0,pseudo,mooc,326,81,mooc
3042,311,878,0,moocML,mooc,237,4,mooc
3043,311,317,0,moocML,mooc,237,147,mooc
3050,311,966,0,moocML,mooc,237,311,mooc
3049,311,981,0,moocML,mooc,237,96,mooc
3047,311,299,0,moocML,mooc,237,7,mooc
3041,311,1214,0,moocML,mooc,237,181,mooc
3040,311,632,1,moocML,mooc,237,230,mooc
3039,311,799,0,moocML,mooc,237,198,mooc
3048,311,1062,0,moocML,mooc,237,118,mooc
3038,311,1033,1,pseudo,mooc,98,99,al_cpl
3038,311,1301,1,pseudo,mooc,499,25,al_cpl
3046,311,263,0,moocML,mooc,237,396,mooc
3045,311,846,1,moocML,mooc,237,294,mooc
3038,311,1483,0,moocML,mooc,237,2,mooc
3044,311,628,1,moocML,mooc,237,30,mooc
3051,312,580,0,al_cpl,al_cpl,297,296,al_cpl
3052,312,1317,0,al_cpl,al_cpl,297,418,al_cpl
3082,313,416,1,drive,drive,68,782,drive
3076,313,1193,0,al_cpl,al_cpl,533,385,al_cpl
3077,313,255,0,al_cpl,al_cpl,533,223,al_cpl
3078,313,187,0,al_cpl,al_cpl,533,394,al_cpl
3079,313,115,0,al_cpl,al_cpl,533,170,al_cpl
3080,313,1126,0,al_cpl,al_cpl,533,384,al_cpl
3081,313,336,0,al_cpl,al_cpl,533,294,al_cpl
3075,313,1404,1,al_cpl,al_cpl,533,365,al_cpl
3083,313,140,0,al_cpl,al_cpl,533,507,al_cpl
3091,313,1426,1,drive,drive,68,490,drive
3085,313,1081,0,drive,drive,68,273,drive
3086,313,87,1,drive,drive,68,773,drive
3087,313,1341,0,al_cpl,al_cpl,533,290,al_cpl
3088,313,1318,1,al_cpl,al_cpl,533,128,al_cpl
3089,313,740,0,al_cpl,al_cpl,533,150,al_cpl
3090,313,1361,0,drive,drive,68,275,drive
3074,313,143,0,al_cpl,al_cpl,533,200,al_cpl
3092,313,453,0,al_cpl,al_cpl,533,291,al_cpl
3093,313,1557,1,drive,drive,68,508,drive
3084,313,1450,1,drive,drive,68,788,drive
3073,313,1174,0,al_cpl,al_cpl,533,246,al_cpl
3065,313,1581,0,al_cpl,al_cpl,533,270,al_cpl
3071,313,315,0,al_cpl,al_cpl,533,240,al_cpl
3053,313,745,0,pseudo,al_cpl,339,324,mooc
3053,313,1484,0,al_cpl,al_cpl,533,140,al_cpl
3054,313,822,0,al_cpl,al_cpl,533,219,al_cpl
3055,313,1054,0,al_cpl,al_cpl,533,161,al_cpl
3056,313,546,0,al_cpl,al_cpl,533,188,al_cpl
3057,313,1049,0,al_cpl,al_cpl,533,471,al_cpl
3058,313,55,1,drive,drive,68,789,drive
3059,313,1032,0,drive,drive,68,274,drive
3060,313,1508,0,al_cpl,al_cpl,533,126,al_cpl
3061,313,712,0,al_cpl,al_cpl,533,62,al_cpl
3062,313,96,0,drive,drive,68,251,drive
3063,313,921,0,al_cpl,al_cpl,533,444,al_cpl
3064,313,538,0,al_cpl,al_cpl,533,134,al_cpl
3094,313,790,0,al_cpl,al_cpl,533,322,al_cpl
3066,313,411,0,al_cpl,al_cpl,533,266,al_cpl
3067,313,1312,0,al_cpl,al_cpl,533,456,al_cpl
3068,313,1085,0,al_cpl,al_cpl,533,345,al_cpl
3069,313,68,0,al_cpl,al_cpl,533,215,al_cpl
3070,313,908,0,al_cpl,al_cpl,533,153,al_cpl
3072,313,936,0,al_cpl,al_cpl,533,467,al_cpl
3095,313,690,0,al_cpl,al_cpl,533,168,al_cpl
3096,313,990,0,al_cpl,al_cpl,533,381,al_cpl
3097,313,1436,0,al_cpl,al_cpl,533,257,al_cpl
3098,313,160,0,al_cpl,al_cpl,533,247,al_cpl
3099,313,1438,1,drive,drive,68,677,drive
3053,313,1093,1,pseudo,al_cpl,435,298,al_cpl
3100,314,1093,1,pseudo,drive,435,298,al_cpl
3108,314,888,1,drive,drive,281,687,drive
3100,314,745,0,pseudo,drive,339,324,mooc
3106,314,637,1,drive,drive,281,686,drive
3107,314,1012,1,drive,drive,281,163,drive
3104,314,757,1,drive,drive,281,693,drive
3103,314,627,1,drive,drive,281,695,drive
3102,314,389,1,drive,drive,281,166,drive
3101,314,513,1,drive,drive,281,324,drive
3100,314,48,1,drive,drive,281,325,drive
3105,314,1265,1,drive,drive,281,694,drive
3109,315,528,0,moocDSA,mooc,245,225,mooc
3110,315,433,1,moocDSA,mooc,245,50,mooc
3111,315,1163,1,moocDSA,mooc,245,201,mooc
3112,315,1478,0,moocDSA,mooc,245,336,mooc
3113,316,208,1,pseudo,al_cpl,280,8,al_cpl
3113,316,745,0,pseudo,al_cpl,339,324,mooc
3113,316,1093,1,al_cpl,al_cpl,69,298,al_cpl
3115,316,1502,1,al_cpl,al_cpl,69,210,al_cpl
3114,316,1332,1,al_cpl,al_cpl,69,369,al_cpl
3117,317,1094,1,drive,drive,92,94,drive
3116,317,104,1,drive,drive,92,112,drive
3118,318,745,0,pseudo,mooc,339,324,mooc
3118,318,1404,1,pseudo,mooc,193,365,al_cpl
3132,318,257,0,moocDSA,mooc,207,291,mooc
3134,318,1206,1,moocDSA,mooc,207,122,mooc
3133,318,326,0,moocDSA,mooc,207,158,mooc
3118,318,966,0,pseudo,mooc,272,311,mooc
3131,318,726,0,moocDSA,mooc,207,20,mooc
3125,318,19,1,moocDSA,mooc,207,365,mooc
3129,318,916,1,moocDSA,mooc,207,435,mooc
3118,318,261,0,moocDSA,mooc,207,215,mooc
3119,318,489,1,moocDSA,mooc,207,72,mooc
3120,318,345,1,moocDSA,mooc,207,192,mooc
3121,318,7,1,moocDSA,mooc,207,86,mooc
3122,318,445,1,moocDSA,mooc,207,93,mooc
3123,318,36,0,moocDSA,mooc,207,244,mooc
3124,318,827,1,moocDSA,mooc,207,426,mooc
3130,318,1486,0,moocDSA,mooc,207,280,mooc
3118,318,1093,1,pseudo,mooc,435,298,al_cpl
3126,318,887,0,moocDSA,mooc,207,360,mooc
3127,318,415,0,moocDSA,mooc,207,37,mooc
3128,318,635,0,moocDSA,mooc,207,341,mooc
3141,319,1541,0,al_cpl,al_cpl,256,31,al_cpl
3139,319,615,0,al_cpl,al_cpl,256,323,al_cpl
3143,319,267,0,al_cpl,al_cpl,256,72,al_cpl
3144,319,581,0,al_cpl,al_cpl,256,43,al_cpl
3145,319,624,1,al_cpl,al_cpl,256,391,al_cpl
3138,319,252,0,al_cpl,al_cpl,256,258,al_cpl
3137,319,469,0,al_cpl,al_cpl,256,500,al_cpl
3136,319,350,0,al_cpl,al_cpl,256,288,al_cpl
3135,319,1546,0,al_cpl,al_cpl,256,35,al_cpl
3140,319,1342,0,al_cpl,al_cpl,256,6,al_cpl
3142,319,568,0,al_cpl,al_cpl,256,108,al_cpl
3146,319,651,0,al_cpl,al_cpl,256,395,al_cpl
3147,319,1510,0,al_cpl,al_cpl,256,408,al_cpl
3149,319,1539,0,al_cpl,al_cpl,256,187,al_cpl
3150,319,544,0,al_cpl,al_cpl,256,328,al_cpl
3151,319,876,0,al_cpl,al_cpl,256,27,al_cpl
3148,319,386,0,al_cpl,al_cpl,256,76,al_cpl
3152,320,601,0,moocML,mooc,46,197,mooc
3153,320,603,0,moocML,mooc,46,107,mooc
3154,320,134,0,moocML,mooc,46,51,mooc
3155,320,1030,1,moocML,mooc,46,9,mooc
3156,320,1533,0,moocML,mooc,46,273,mooc
3157,320,317,0,moocML,mooc,46,147,mooc
3158,320,1483,0,moocML,mooc,46,2,mooc
3166,321,989,0,drive,drive,250,676,drive
3165,321,1201,0,drive,drive,250,713,drive
3164,321,84,0,drive,drive,250,741,drive
3161,321,70,0,drive,drive,250,737,drive
3162,321,1571,0,drive,drive,250,367,drive
3160,321,1308,0,drive,drive,250,301,drive
3159,321,856,0,drive,drive,250,708,drive
3163,321,65,0,drive,drive,250,660,drive
3197,322,662,0,moocML,mooc,171,80,mooc
3191,322,1294,0,moocML,mooc,171,64,mooc
3192,322,1235,0,moocML,mooc,171,199,mooc
3193,322,282,0,moocML,mooc,171,84,mooc
3194,322,317,0,moocML,mooc,171,147,mooc
3195,322,1437,0,moocML,mooc,171,214,mooc
3196,322,1422,0,moocML,mooc,171,42,mooc
3198,322,1396,0,moocML,mooc,171,13,mooc
3207,322,477,0,moocML,mooc,171,416,mooc
3200,322,1217,0,moocML,mooc,171,295,mooc
3201,322,547,0,moocML,mooc,171,75,mooc
3202,322,1086,0,moocML,mooc,171,406,mooc
3203,322,987,0,moocML,mooc,171,348,mooc
3204,322,181,0,moocML,mooc,171,53,mooc
3205,322,646,0,moocML,mooc,171,91,mooc
3206,322,843,0,moocML,mooc,171,130,mooc
3190,322,297,0,moocML,mooc,171,413,mooc
3199,322,439,1,moocML,mooc,171,182,mooc
3189,322,1063,1,moocML,mooc,171,18,mooc
3178,322,1259,0,moocML,mooc,171,353,mooc
3187,322,442,0,moocML,mooc,171,357,mooc
3167,322,1401,0,moocML,mooc,171,170,mooc
3168,322,595,0,moocML,mooc,171,334,mooc
3169,322,493,1,moocML,mooc,171,142,mooc
3170,322,561,0,moocML,mooc,171,218,mooc
3171,322,783,0,moocML,mooc,171,316,mooc
3172,322,1075,0,moocML,mooc,171,312,mooc
3173,322,404,0,moocML,mooc,171,35,mooc
3174,322,754,0,moocML,mooc,171,238,mooc
3188,322,199,0,moocML,mooc,171,298,mooc
3175,322,1533,0,moocML,mooc,171,273,mooc
3177,322,58,0,moocML,mooc,171,401,mooc
3179,322,296,0,moocML,mooc,171,211,mooc
3181,322,1154,0,moocML,mooc,171,134,mooc
3182,322,124,0,moocML,mooc,171,397,mooc
3183,322,1582,1,moocML,mooc,171,0,mooc
3184,322,1514,0,moocML,mooc,171,264,mooc
3185,322,503,0,moocML,mooc,171,296,mooc
3186,322,944,0,moocML,mooc,171,409,mooc
3176,322,563,1,moocML,mooc,171,387,mooc
3167,322,1093,1,pseudo,mooc,435,298,al_cpl
3180,322,616,0,moocML,mooc,171,28,mooc
3167,322,700,0,pseudo,mooc,185,289,mooc
3223,323,360,0,moocML,mooc,110,258,mooc
3231,323,881,0,moocML,mooc,110,275,mooc
3230,323,843,0,moocML,mooc,110,130,mooc
3229,323,948,0,moocML,mooc,110,115,mooc
3228,323,616,0,moocML,mooc,110,28,mooc
3227,323,1421,1,moocML,mooc,110,140,mooc
3226,323,463,1,moocML,mooc,110,8,mooc
3225,323,429,0,moocML,mooc,110,16,mooc
3224,323,688,0,moocML,mooc,110,236,mooc
3222,323,199,0,moocML,mooc,110,298,mooc
3221,323,283,0,moocML,mooc,110,88,mooc
3220,323,1218,0,moocML,mooc,110,241,mooc
3219,323,455,0,moocML,mooc,110,285,mooc
3218,323,1075,0,moocML,mooc,110,312,mooc
3210,323,423,1,moocML,mooc,110,358,mooc
3216,323,878,0,moocML,mooc,110,4,mooc
3215,323,493,0,moocML,mooc,110,142,mooc
3214,323,1230,0,moocML,mooc,110,36,mooc
3213,323,711,0,moocML,mooc,110,299,mooc
3212,323,944,0,moocML,mooc,110,409,mooc
3211,323,1257,0,moocML,mooc,110,45,mooc
3217,323,754,0,moocML,mooc,110,238,mooc
3209,323,1097,0,moocML,mooc,110,363,mooc
3208,323,900,0,moocML,mooc,110,277,mooc
3247,324,1554,0,al_cpl,al_cpl,397,355,al_cpl
3243,324,1502,1,al_cpl,al_cpl,397,210,al_cpl
3248,324,1527,0,al_cpl,al_cpl,397,361,al_cpl
3245,324,1166,1,al_cpl,al_cpl,397,432,al_cpl
3246,324,97,0,al_cpl,al_cpl,397,52,al_cpl
3244,324,508,0,al_cpl,al_cpl,397,56,al_cpl
3250,324,418,0,al_cpl,al_cpl,397,265,al_cpl
3249,324,1363,1,al_cpl,al_cpl,397,139,al_cpl
3252,324,1247,0,al_cpl,al_cpl,397,253,al_cpl
3253,324,929,0,al_cpl,al_cpl,397,398,al_cpl
3242,324,334,0,al_cpl,al_cpl,397,53,al_cpl
3254,324,1343,1,al_cpl,al_cpl,397,534,al_cpl
3255,324,392,1,al_cpl,al_cpl,397,518,al_cpl
3256,324,1453,1,al_cpl,al_cpl,397,377,al_cpl
3251,324,1019,0,al_cpl,al_cpl,397,479,al_cpl
3241,324,1216,0,al_cpl,al_cpl,397,528,al_cpl
3232,324,1111,1,pseudo,al_cpl,95,88,drive
3239,324,760,0,al_cpl,al_cpl,397,68,al_cpl
3240,324,686,0,al_cpl,al_cpl,397,166,al_cpl
3232,324,603,0,pseudo,al_cpl,401,107,mooc
3232,324,745,0,pseudo,al_cpl,339,324,mooc
3232,324,179,0,al_cpl,al_cpl,397,119,al_cpl
3233,324,1338,1,al_cpl,al_cpl,397,374,al_cpl
3235,324,1240,1,al_cpl,al_cpl,397,17,al_cpl
3234,324,81,1,al_cpl,al_cpl,397,276,al_cpl
3236,324,1091,0,al_cpl,al_cpl,397,208,al_cpl
3237,324,935,0,al_cpl,al_cpl,397,399,al_cpl
3232,324,202,1,pseudo,al_cpl,378,277,al_cpl
3238,324,1093,1,al_cpl,al_cpl,397,298,al_cpl
3263,325,247,0,al_cpl,al_cpl,76,488,al_cpl
3267,325,1574,1,al_cpl,al_cpl,76,483,al_cpl
3265,325,780,0,al_cpl,al_cpl,76,495,al_cpl
3268,325,656,1,al_cpl,al_cpl,76,438,al_cpl
3264,325,10,0,al_cpl,al_cpl,76,427,al_cpl
3266,325,1512,1,al_cpl,al_cpl,76,490,al_cpl
3262,325,0,0,al_cpl,al_cpl,76,491,al_cpl
3258,325,149,0,al_cpl,al_cpl,76,526,al_cpl
3260,325,51,0,al_cpl,al_cpl,76,386,al_cpl
3259,325,641,0,al_cpl,al_cpl,76,101,al_cpl
3257,325,876,0,al_cpl,al_cpl,76,27,al_cpl
3257,325,745,0,pseudo,al_cpl,339,324,mooc
3257,325,1093,1,pseudo,al_cpl,435,298,al_cpl
3261,325,217,0,al_cpl,al_cpl,76,182,al_cpl
3269,326,544,0,al_cpl,al_cpl,227,328,al_cpl
3270,326,1162,0,al_cpl,al_cpl,227,249,al_cpl
3281,327,1075,1,moocML,mooc,31,312,mooc
3278,327,662,1,moocML,mooc,31,80,mooc
3280,327,1212,1,moocML,mooc,31,372,mooc
3279,327,603,0,moocML,mooc,31,107,mooc
3277,327,1230,0,moocML,mooc,31,36,mooc
3273,327,975,0,moocML,mooc,31,203,mooc
3275,327,134,0,moocML,mooc,31,51,mooc
3274,327,561,0,moocML,mooc,31,218,mooc
3272,327,948,1,moocML,mooc,31,115,mooc
3271,327,646,0,moocML,mooc,31,91,mooc
3276,327,688,0,moocML,mooc,31,236,mooc
3282,328,1573,0,drive,drive,321,728,drive
3283,328,319,0,drive,drive,321,744,drive
3284,328,78,0,drive,drive,321,729,drive
3285,328,1374,1,drive,drive,321,719,drive
3295,329,1305,0,drive,drive,166,555,drive
3294,329,604,1,drive,drive,166,167,drive
3293,329,146,1,drive,drive,166,465,drive
3292,329,1406,1,drive,drive,166,283,drive
3291,329,388,1,drive,drive,166,321,drive
3288,329,1465,1,drive,drive,166,286,drive
3289,329,374,1,drive,drive,166,281,drive
3287,329,513,1,drive,drive,166,324,drive
3286,329,525,0,drive,drive,166,579,drive
3290,329,1405,0,drive,drive,166,279,drive
3298,330,596,0,moocDSA,mooc,58,90,mooc
3296,330,861,0,moocDSA,mooc,58,375,mooc
3297,330,1513,0,moocDSA,mooc,58,342,mooc
3299,330,366,0,moocDSA,mooc,58,427,mooc
3304,330,1314,0,moocDSA,mooc,58,40,mooc
3301,330,750,0,moocDSA,mooc,58,156,mooc
3302,330,1021,0,moocDSA,mooc,58,340,mooc
3303,330,1446,0,moocDSA,mooc,58,87,mooc
3300,330,746,0,moocDSA,mooc,58,283,mooc
3325,331,1036,0,al_cpl,al_cpl,518,5,al_cpl
3305,331,881,0,pseudo,al_cpl,272,275,mooc
3326,331,1338,1,al_cpl,al_cpl,518,374,al_cpl
3327,331,1453,1,al_cpl,al_cpl,518,377,al_cpl
3328,331,213,0,al_cpl,al_cpl,518,420,al_cpl
3329,331,674,0,al_cpl,al_cpl,518,517,al_cpl
3330,331,1453,1,al_cpl,al_cpl,518,377,al_cpl
3331,331,1300,0,al_cpl,al_cpl,518,13,al_cpl
3334,331,558,0,al_cpl,al_cpl,518,473,al_cpl
3324,331,147,0,al_cpl,al_cpl,518,504,al_cpl
3335,331,1343,1,al_cpl,al_cpl,518,534,al_cpl
3336,331,290,0,al_cpl,al_cpl,518,18,al_cpl
3305,331,745,0,pseudo,al_cpl,339,324,mooc
3305,331,1363,1,pseudo,al_cpl,378,139,al_cpl
3305,331,208,1,pseudo,al_cpl,280,8,al_cpl
3305,331,1111,1,pseudo,al_cpl,95,88,drive
3332,331,81,1,al_cpl,al_cpl,518,276,al_cpl
3323,331,1240,1,al_cpl,al_cpl,518,17,al_cpl
3333,331,334,0,al_cpl,al_cpl,518,53,al_cpl
3321,331,1477,0,al_cpl,al_cpl,518,478,al_cpl
3306,331,1311,0,al_cpl,al_cpl,518,180,al_cpl
3322,331,418,0,al_cpl,al_cpl,518,265,al_cpl
3305,331,555,0,al_cpl,al_cpl,518,521,al_cpl
3309,331,81,1,al_cpl,al_cpl,518,276,al_cpl
3307,331,1093,1,al_cpl,al_cpl,518,298,al_cpl
3311,331,1387,0,al_cpl,al_cpl,518,423,al_cpl
3305,331,700,0,pseudo,al_cpl,185,289,mooc
3312,331,767,0,al_cpl,al_cpl,518,462,al_cpl
3310,331,1502,1,al_cpl,al_cpl,518,210,al_cpl
3314,331,1240,1,al_cpl,al_cpl,518,17,al_cpl
3315,331,1338,1,al_cpl,al_cpl,518,374,al_cpl
3316,331,202,1,al_cpl,al_cpl,518,277,al_cpl
3317,331,1057,0,al_cpl,al_cpl,518,431,al_cpl
3318,331,1138,0,al_cpl,al_cpl,518,433,al_cpl
3319,331,761,0,al_cpl,al_cpl,518,396,al_cpl
3320,331,1166,0,al_cpl,al_cpl,518,432,al_cpl
3313,331,300,0,al_cpl,al_cpl,518,308,al_cpl
3308,331,1554,0,al_cpl,al_cpl,518,355,al_cpl
3337,332,317,0,moocML,mooc,97,147,mooc
3338,332,1582,0,moocML,mooc,97,0,mooc
3339,332,783,0,moocML,mooc,97,316,mooc
3340,332,646,0,moocML,mooc,97,91,mooc
3341,333,1423,0,drive,drive,86,69,drive
3342,333,877,0,drive,drive,86,482,drive
3343,333,127,0,drive,drive,86,73,drive
3345,334,1404,1,al_cpl,al_cpl,89,365,al_cpl
3344,334,160,0,al_cpl,al_cpl,89,247,al_cpl
3350,335,1046,0,drive,drive,90,447,drive
3351,335,431,0,drive,drive,90,440,drive
3348,335,122,0,drive,drive,90,455,drive
3346,335,745,0,pseudo,drive,339,324,mooc
3346,335,1093,1,pseudo,drive,435,298,al_cpl
3347,335,1094,1,drive,drive,90,94,drive
3349,335,245,1,drive,drive,90,449,drive
3346,335,1319,1,drive,drive,90,424,drive
3363,336,1114,0,moocDSA,mooc,262,21,mooc
3362,336,833,1,moocDSA,mooc,262,61,mooc
3366,336,1175,0,moocDSA,mooc,262,333,mooc
3365,336,326,0,moocDSA,mooc,262,158,mooc
3367,336,1394,0,moocDSA,mooc,262,374,mooc
3369,336,864,0,moocDSA,mooc,262,164,mooc
3370,336,261,0,moocDSA,mooc,262,215,mooc
3364,336,489,0,moocDSA,mooc,262,72,mooc
3361,336,1563,0,moocDSA,mooc,262,433,mooc
3368,336,1489,0,moocDSA,mooc,262,400,mooc
3360,336,1021,0,moocDSA,mooc,262,340,mooc
3353,336,1377,0,moocDSA,mooc,262,154,mooc
3359,336,676,0,moocDSA,mooc,262,229,mooc
3358,336,1295,0,moocDSA,mooc,262,414,mooc
3357,336,214,0,moocDSA,mooc,262,281,mooc
3356,336,445,0,moocDSA,mooc,262,93,mooc
3355,336,916,0,moocDSA,mooc,262,435,mooc
3354,336,1385,0,moocDSA,mooc,262,155,mooc
3352,336,36,0,moocDSA,mooc,262,244,mooc
3374,337,686,1,al_cpl,al_cpl,356,166,al_cpl
3373,337,1093,1,al_cpl,al_cpl,356,298,al_cpl
3371,337,1440,1,al_cpl,al_cpl,356,165,al_cpl
3372,337,1289,1,al_cpl,al_cpl,356,342,al_cpl
3375,338,745,0,pseudo,drive,339,324,mooc
3375,338,584,1,drive,drive,17,98,drive
3375,338,1093,1,pseudo,drive,435,298,al_cpl
3376,339,434,1,drive,drive,334,866,drive
3377,339,77,1,drive,drive,334,742,drive
3376,339,745,0,pseudo,drive,339,324,mooc
3376,339,1093,1,pseudo,drive,435,298,al_cpl
3378,340,469,0,al_cpl,al_cpl,57,500,al_cpl
3423,341,874,0,moocML,mooc,56,145,mooc
3425,341,361,0,moocML,mooc,56,266,mooc
3426,341,124,0,moocML,mooc,56,397,mooc
3427,341,963,1,moocML,mooc,56,404,mooc
3428,341,878,0,moocML,mooc,56,4,mooc
3429,341,1097,0,moocML,mooc,56,363,mooc
3430,341,944,0,moocML,mooc,56,409,mooc
3422,341,493,0,moocML,mooc,56,142,mooc
3421,341,1067,0,moocML,mooc,56,81,mooc
3420,341,616,0,moocML,mooc,56,28,mooc
3424,341,387,0,moocML,mooc,56,31,mooc
3431,341,195,0,moocML,mooc,56,174,mooc
3385,341,432,0,moocML,mooc,56,17,mooc
3433,341,1063,0,moocML,mooc,56,18,mooc
3389,341,277,0,moocML,mooc,56,100,mooc
3391,341,1218,0,moocML,mooc,56,241,mooc
3384,341,381,0,moocML,mooc,56,46,mooc
3419,341,199,0,moocML,mooc,56,298,mooc
3386,341,341,0,moocML,mooc,56,284,mooc
3387,341,814,0,moocML,mooc,56,366,mooc
3441,341,1056,0,moocML,mooc,56,292,mooc
3440,341,201,0,moocML,mooc,56,315,mooc
3439,341,1259,0,moocML,mooc,56,353,mooc
3438,341,948,0,moocML,mooc,56,115,mooc
3437,341,1212,0,moocML,mooc,56,372,mooc
3436,341,943,0,moocML,mooc,56,144,mooc
3432,341,885,0,moocML,mooc,56,314,mooc
3435,341,1055,0,moocML,mooc,56,41,mooc
3411,341,784,0,moocML,mooc,56,71,mooc
3417,341,766,0,moocML,mooc,56,67,mooc
3390,341,632,0,moocML,mooc,56,230,mooc
3379,341,1422,0,moocML,mooc,56,42,mooc
3380,341,1197,0,moocML,mooc,56,421,mooc
3381,341,423,1,moocML,mooc,56,358,mooc
3382,341,630,0,moocML,mooc,56,269,mooc
3383,341,662,0,moocML,mooc,56,80,mooc
3392,341,653,0,moocML,mooc,56,209,mooc
3393,341,20,0,moocML,mooc,56,339,mooc
3394,341,1235,0,moocML,mooc,56,199,mooc
3395,341,304,0,moocML,mooc,56,202,mooc
3396,341,628,0,moocML,mooc,56,30,mooc
3397,341,547,0,moocML,mooc,56,75,mooc
3398,341,1257,0,moocML,mooc,56,45,mooc
3399,341,314,0,moocML,mooc,56,117,mooc
3418,341,1294,0,moocML,mooc,56,64,mooc
3400,341,1214,0,moocML,mooc,56,181,mooc
3402,341,895,0,moocML,mooc,56,422,mooc
3403,341,1133,0,moocML,mooc,56,112,mooc
3404,341,404,0,moocML,mooc,56,35,mooc
3405,341,1396,0,moocML,mooc,56,13,mooc
3406,341,950,0,moocML,mooc,56,104,mooc
3407,341,1217,0,moocML,mooc,56,295,mooc
3408,341,383,0,moocML,mooc,56,110,mooc
3409,341,41,1,moocML,mooc,56,326,mooc
3410,341,93,0,moocML,mooc,56,381,mooc
3412,341,454,0,moocML,mooc,56,250,mooc
3413,341,561,0,moocML,mooc,56,218,mooc
3414,341,692,0,moocML,mooc,56,131,mooc
3415,341,1153,0,moocML,mooc,56,132,mooc
3416,341,446,0,moocML,mooc,56,364,mooc
3401,341,754,0,moocML,mooc,56,238,mooc
3388,341,439,1,moocML,mooc,56,182,mooc
3434,341,1548,0,moocML,mooc,56,347,mooc
3472,342,393,0,moocML,mooc,35,97,mooc
3464,342,622,0,moocML,mooc,35,267,mooc
3465,342,95,0,moocML,mooc,35,431,mooc
3466,342,493,0,moocML,mooc,35,142,mooc
3467,342,711,1,moocML,mooc,35,299,mooc
3468,342,878,0,moocML,mooc,35,4,mooc
3469,342,620,0,moocML,mooc,35,146,mooc
3471,342,134,0,moocML,mooc,35,51,mooc
3473,342,423,0,moocML,mooc,35,358,mooc
3474,342,1582,0,moocML,mooc,35,0,mooc
3475,342,882,0,moocML,mooc,35,224,mooc
3476,342,783,0,moocML,mooc,35,316,mooc
3463,342,125,0,moocML,mooc,35,438,mooc
3477,342,509,0,moocML,mooc,35,383,mooc
3479,342,646,0,moocML,mooc,35,91,mooc
3480,342,156,0,moocML,mooc,35,191,mooc
3481,342,282,0,moocML,mooc,35,84,mooc
3482,342,1218,0,moocML,mooc,35,241,mooc
3483,342,369,0,moocML,mooc,35,237,mooc
3484,342,1434,0,moocML,mooc,35,138,mooc
3485,342,855,1,moocML,mooc,35,417,mooc
3486,342,1172,0,moocML,mooc,35,136,mooc
3487,342,520,0,moocML,mooc,35,149,mooc
3488,342,124,0,moocML,mooc,35,397,mooc
3442,342,1301,1,pseudo,mooc,499,25,al_cpl
3478,342,263,0,moocML,mooc,35,396,mooc
3462,342,1482,0,moocML,mooc,35,271,mooc
3470,342,944,0,moocML,mooc,35,409,mooc
3460,342,437,1,moocML,mooc,35,173,mooc
3442,342,1067,0,pseudo,mooc,326,81,mooc
3442,342,923,0,pseudo,mooc,151,419,mooc
3461,342,477,0,moocML,mooc,35,416,mooc
3442,342,846,1,moocML,mooc,35,294,mooc
3443,342,178,0,moocML,mooc,35,355,mooc
3444,342,688,0,moocML,mooc,35,236,mooc
3445,342,1073,0,moocML,mooc,35,105,mooc
3446,342,1514,0,moocML,mooc,35,264,mooc
3447,342,799,0,moocML,mooc,35,198,mooc
3448,342,843,0,moocML,mooc,35,130,mooc
3449,342,181,1,moocML,mooc,35,53,mooc
3442,342,1404,1,pseudo,mooc,193,365,al_cpl
3451,342,1259,1,moocML,mooc,35,353,mooc
3452,342,1444,0,moocML,mooc,35,325,mooc
3453,342,277,0,moocML,mooc,35,100,mooc
3454,342,1039,0,moocML,mooc,35,38,mooc
3455,342,1230,0,moocML,mooc,35,36,mooc
3456,342,1214,0,moocML,mooc,35,181,mooc
3457,342,1212,0,moocML,mooc,35,372,mooc
3458,342,1316,0,moocML,mooc,35,196,mooc
3459,342,1063,1,moocML,mooc,35,18,mooc
3450,342,304,0,moocML,mooc,35,202,mooc
3489,343,1597,1,al_cpl,al_cpl,190,331,al_cpl
3492,344,547,0,moocML,mooc,163,75,mooc
3491,344,662,0,moocML,mooc,163,80,mooc
3490,344,1067,0,moocML,mooc,163,81,mooc
3493,345,881,0,pseudo,al_cpl,272,275,mooc
3493,345,1088,1,pseudo,al_cpl,273,46,al_cpl
3493,345,1351,1,al_cpl,al_cpl,216,218,al_cpl
3494,345,1404,1,al_cpl,al_cpl,216,365,al_cpl
3495,345,5,1,al_cpl,al_cpl,216,193,al_cpl
3496,345,1146,1,al_cpl,al_cpl,216,333,al_cpl
3497,345,1318,1,al_cpl,al_cpl,216,128,al_cpl
3493,345,745,0,pseudo,al_cpl,339,324,mooc
3493,345,1093,1,pseudo,al_cpl,435,298,al_cpl
3493,345,369,0,pseudo,al_cpl,272,237,mooc
3493,345,1289,1,pseudo,al_cpl,280,342,al_cpl
3498,346,540,1,drive,drive,115,415,drive
3499,346,571,0,drive,drive,115,542,drive
3500,346,1250,1,drive,drive,115,543,drive
3501,347,3,0,drive,drive,432,883,drive
3514,348,1404,1,al_cpl,al_cpl,266,365,al_cpl
3512,348,336,1,al_cpl,al_cpl,266,294,al_cpl
3502,348,1502,1,pseudo,al_cpl,435,210,al_cpl
3513,348,1318,1,al_cpl,al_cpl,266,128,al_cpl
3502,348,1093,1,pseudo,al_cpl,435,298,al_cpl
